site;var_name;value;exceldate
Ahaus;mean temperature;10.50;19246
Ahaus;mean temperature;10.80;19247
Ahaus;mean temperature;10.30;19248
Ahaus;mean temperature;11.30;19249
Ahaus;mean temperature;10.40;19250
Ahaus;mean temperature;10.60;19251
Ahaus;mean temperature;11.30;19252
Ahaus;mean temperature;10.50;19253
Ahaus;mean temperature;10.30;19254
Ahaus;mean temperature;8.50;19255
Ahaus;mean temperature;6.30;19256
Ahaus;mean temperature;8.20;19257
Ahaus;mean temperature;10.40;19258
Ahaus;mean temperature;10.20;19259
Ahaus;mean temperature;14.10;19260
Ahaus;mean temperature;14.50;19261
Ahaus;mean temperature;11.30;19262
Ahaus;mean temperature;10.50;19263
Ahaus;mean temperature;9.70;19264
Ahaus;mean temperature;9.30;19265
Ahaus;mean temperature;9.30;19266
Ahaus;mean temperature;10.20;19267
Ahaus;mean temperature;11.60;19268
Ahaus;mean temperature;9.60;19269
Ahaus;mean temperature;8.40;19270
Ahaus;mean temperature;9.00;19271
Ahaus;mean temperature;8.10;19272
Ahaus;mean temperature;9.00;19273
Ahaus;mean temperature;9.00;19274
Ahaus;mean temperature;7.50;19275
Ahaus;mean temperature;9.50;19276
Ahaus;mean temperature;6.50;19277
Ahaus;mean temperature;5.80;19278
Ahaus;mean temperature;3.00;19279
Ahaus;mean temperature;3.80;19280
Ahaus;mean temperature;5.60;19281
Ahaus;mean temperature;6.10;19282
Ahaus;mean temperature;6.70;19283
Ahaus;mean temperature;7.40;19284
Ahaus;mean temperature;6.20;19285
Ahaus;mean temperature;5.40;19286
Ahaus;mean temperature;4.60;19287
Ahaus;mean temperature;4.10;19288
Ahaus;mean temperature;6.80;19289
Ahaus;mean temperature;9.10;19290
Ahaus;mean temperature;10.80;19291
Ahaus;mean temperature;11.30;19292
Ahaus;mean temperature;10.40;19293
Ahaus;mean temperature;11.40;19294
Ahaus;mean temperature;14.00;19295
Ahaus;mean temperature;11.90;19296
Ahaus;mean temperature;8.00;19297
Ahaus;mean temperature;6.10;19298
Ahaus;mean temperature;6.00;19299
Ahaus;mean temperature;7.60;19300
Ahaus;mean temperature;5.70;19301
Ahaus;mean temperature;7.30;19302
Ahaus;mean temperature;8.20;19303
Ahaus;mean temperature;6.80;19304
Ahaus;mean temperature;4.10;19305
Ahaus;mean temperature;3.60;19306
Ahaus;mean temperature;4.80;19307
Ahaus;mean temperature;6.50;19308
Ahaus;mean temperature;3.10;19309
Ahaus;mean temperature;1.70;19310
Ahaus;mean temperature;2.70;19311
Ahaus;mean temperature;0.30;19312
Ahaus;mean temperature;-0.50;19313
Ahaus;mean temperature;-0.70;19314
Ahaus;mean temperature;-2.50;19315
Ahaus;mean temperature;-1.00;19316
Ahaus;mean temperature;2.90;19317
Ahaus;mean temperature;0.80;19318
Ahaus;mean temperature;3.40;19319
Ahaus;mean temperature;5.00;19320
Ahaus;mean temperature;3.60;19321
Ahaus;mean temperature;0.00;19322
Ahaus;mean temperature;-0.90;19323
Ahaus;mean temperature;-1.30;19324
Ahaus;mean temperature;0.20;19325
Ahaus;mean temperature;-0.70;19326
Ahaus;mean temperature;-1.20;19327
Ahaus;mean temperature;-1.80;19328
Ahaus;mean temperature;-2.80;19329
Ahaus;mean temperature;-4.50;19330
Ahaus;mean temperature;1.90;19331
Ahaus;mean temperature;-0.90;19332
Ahaus;mean temperature;1.30;19333
Ahaus;mean temperature;0.50;19334
Ahaus;mean temperature;1.30;19335
Ahaus;mean temperature;-1.30;19336
Ahaus;mean temperature;-3.00;19337
Ahaus;mean temperature;-2.80;19338
Ahaus;mean temperature;1.30;19339
Ahaus;mean temperature;3.10;19340
Ahaus;mean temperature;1.00;19341
Ahaus;mean temperature;1.50;19342
Ahaus;mean temperature;-0.10;19343
Ahaus;mean temperature;-0.60;19344
Ahaus;mean temperature;2.90;19345
Ahaus;mean temperature;0.30;19346
Ahaus;mean temperature;-0.30;19347
Ahaus;mean temperature;4.50;19348
Ahaus;mean temperature;4.00;19349
Ahaus;mean temperature;3.50;19350
Ahaus;mean temperature;4.80;19351
Ahaus;mean temperature;8.00;19352
Ahaus;mean temperature;4.90;19353
Ahaus;mean temperature;4.80;19354
Ahaus;mean temperature;3.30;19355
Ahaus;mean temperature;1.70;19356
Ahaus;mean temperature;0.70;19357
Ahaus;mean temperature;-1.40;19358
Ahaus;mean temperature;-1.20;19359
Ahaus;mean temperature;-0.50;19360
