site;var_name;value;exceldate
Ahaus;precipitation height;0.90;19062
Ahaus;precipitation height;3.00;19063
Ahaus;precipitation height;0.00;19064
Ahaus;precipitation height;0.00;19065
Ahaus;precipitation height;0.00;19066
Ahaus;precipitation height;0.00;19067
Ahaus;precipitation height;0.00;19068
Ahaus;precipitation height;0.10;19069
Ahaus;precipitation height;0.00;19070
Ahaus;precipitation height;0.00;19071
Ahaus;precipitation height;0.00;19072
Ahaus;precipitation height;4.20;19073
Ahaus;precipitation height;4.10;19074
Ahaus;precipitation height;7.90;19075
Ahaus;precipitation height;0.90;19076
Ahaus;precipitation height;5.30;19077
Ahaus;precipitation height;4.20;19078
Ahaus;precipitation height;1.60;19079
Ahaus;precipitation height;0.00;19080
Ahaus;precipitation height;0.00;19081
Ahaus;precipitation height;7.30;19082
Ahaus;precipitation height;4.00;19083
Ahaus;precipitation height;1.70;19084
Ahaus;precipitation height;2.90;19085
Ahaus;precipitation height;0.10;19086
Ahaus;precipitation height;0.00;19087
Ahaus;precipitation height;0.00;19088
Ahaus;precipitation height;0.00;19089
Ahaus;precipitation height;8.00;19090
Ahaus;precipitation height;4.80;19091
Ahaus;precipitation height;0.00;19092
Ahaus;precipitation height;0.00;19093
Ahaus;precipitation height;0.00;19094
Ahaus;precipitation height;0.00;19095
Ahaus;precipitation height;0.00;19096
Ahaus;precipitation height;0.00;19097
Ahaus;precipitation height;0.00;19098
Ahaus;precipitation height;0.00;19099
Ahaus;precipitation height;0.00;19100
Ahaus;precipitation height;0.00;19101
Ahaus;precipitation height;0.00;19102
Ahaus;precipitation height;0.00;19103
Ahaus;precipitation height;0.00;19104
Ahaus;precipitation height;2.50;19105
Ahaus;precipitation height;0.00;19106
Ahaus;precipitation height;0.00;19107
Ahaus;precipitation height;0.00;19108
Ahaus;precipitation height;0.00;19109
Ahaus;precipitation height;0.00;19110
Ahaus;precipitation height;0.00;19111
Ahaus;precipitation height;0.20;19112
Ahaus;precipitation height;0.00;19113
Ahaus;precipitation height;0.00;19114
Ahaus;precipitation height;0.00;19115
Ahaus;precipitation height;0.00;19116
Ahaus;precipitation height;5.20;19117
Ahaus;precipitation height;2.70;19118
Ahaus;precipitation height;5.60;19119
Ahaus;precipitation height;3.10;19120
Ahaus;precipitation height;0.00;19121
Ahaus;precipitation height;0.00;19122
Ahaus;precipitation height;0.00;19123
Ahaus;precipitation height;0.00;19124
Ahaus;precipitation height;0.70;19125
Ahaus;precipitation height;0.80;19126
Ahaus;precipitation height;0.90;19127
Ahaus;precipitation height;0.00;19128
Ahaus;precipitation height;0.00;19129
Ahaus;precipitation height;0.00;19130
Ahaus;precipitation height;0.00;19131
Ahaus;precipitation height;0.00;19132
Ahaus;precipitation height;0.00;19133
Ahaus;precipitation height;0.00;19134
Ahaus;precipitation height;0.00;19135
Ahaus;precipitation height;0.00;19136
Ahaus;precipitation height;0.00;19137
Ahaus;precipitation height;0.00;19138
Ahaus;precipitation height;0.50;19139
Ahaus;precipitation height;1.40;19140
Ahaus;precipitation height;7.70;19141
Ahaus;precipitation height;2.40;19142
Ahaus;precipitation height;0.00;19143
Ahaus;precipitation height;0.00;19144
Ahaus;precipitation height;4.60;19145
Ahaus;precipitation height;22.90;19146
Ahaus;precipitation height;0.80;19147
Ahaus;precipitation height;0.60;19148
Ahaus;precipitation height;0.00;19149
Ahaus;precipitation height;0.00;19150
Ahaus;precipitation height;13.40;19151
Ahaus;precipitation height;0.10;19152
Ahaus;precipitation height;0.60;19153
Ahaus;precipitation height;0.00;19154
Ahaus;precipitation height;0.00;19155
Ahaus;precipitation height;0.00;19156
Ahaus;precipitation height;0.00;19157
Ahaus;precipitation height;2.70;19158
Ahaus;precipitation height;12.40;19159
Ahaus;precipitation height;6.20;19160
Ahaus;precipitation height;0.00;19161
Ahaus;precipitation height;0.10;19162
Ahaus;precipitation height;0.20;19163
Ahaus;precipitation height;0.00;19164
Ahaus;precipitation height;0.80;19165
Ahaus;precipitation height;4.20;19166
Ahaus;precipitation height;6.60;19167
Ahaus;precipitation height;0.80;19168
Ahaus;precipitation height;0.20;19169
Ahaus;precipitation height;2.00;19170
Ahaus;precipitation height;0.00;19171
Ahaus;precipitation height;0.00;19172
Ahaus;precipitation height;0.00;19173
Ahaus;precipitation height;0.00;19174
Ahaus;precipitation height;0.00;19175
Ahaus;precipitation height;0.00;19176
Ahaus;precipitation height;9.40;19177
Ahaus;precipitation height;41.50;19178
Ahaus;precipitation height;0.00;19179
Ahaus;precipitation height;0.00;19180
Ahaus;precipitation height;8.40;19181
Ahaus;precipitation height;0.20;19182
Ahaus;precipitation height;50.40;19183
Ahaus;precipitation height;10.90;19184
Ahaus;precipitation height;0.00;19185
Ahaus;precipitation height;0.10;19186
Ahaus;precipitation height;1.20;19187
Ahaus;precipitation height;0.00;19188
Ahaus;precipitation height;0.00;19189
Ahaus;precipitation height;2.80;19190
Ahaus;precipitation height;0.20;19191
Ahaus;precipitation height;7.60;19192
Ahaus;precipitation height;3.20;19193
Ahaus;precipitation height;0.10;19194
Ahaus;precipitation height;0.00;19195
Ahaus;precipitation height;0.00;19196
Ahaus;precipitation height;0.00;19197
Ahaus;precipitation height;0.00;19198
Ahaus;precipitation height;0.00;19199
Ahaus;precipitation height;0.00;19200
Ahaus;precipitation height;0.20;19201
Ahaus;precipitation height;0.40;19202
Ahaus;precipitation height;4.10;19203
Ahaus;precipitation height;2.10;19204
Ahaus;precipitation height;0.30;19205
Ahaus;precipitation height;0.20;19206
Ahaus;precipitation height;0.90;19207
Ahaus;precipitation height;3.10;19208
Ahaus;precipitation height;0.00;19209
Ahaus;precipitation height;0.00;19210
Ahaus;precipitation height;0.00;19211
Ahaus;precipitation height;1.40;19212
Ahaus;precipitation height;10.70;19213
Ahaus;precipitation height;0.40;19214
Ahaus;precipitation height;0.20;19215
Ahaus;precipitation height;1.50;19216
Ahaus;precipitation height;0.00;19217
Ahaus;precipitation height;0.00;19218
Ahaus;precipitation height;2.60;19219
Ahaus;precipitation height;3.00;19220
Ahaus;precipitation height;11.30;19221
Ahaus;precipitation height;4.30;19222
Ahaus;precipitation height;0.80;19223
Ahaus;precipitation height;3.70;19224
Ahaus;precipitation height;8.90;19225
Ahaus;precipitation height;29.90;19226
